"match_id","date","time","map","competition","my_team","opponent_team","kills","deaths","mvps","kpd","accuracy_pct","hs_pct","damage","rounds_played","player","tier"
"cpl_2026-02-05_1800_Mill_739279",2026-02-05,"18:00","Mill","League emerald #14","ᴍᴇᴅɪꜱᴘᴏʀᴛꜱ ⓜ","Route One",14,19,4,0.74,74,50,2485,22,"Kev","B"
"cpl_2026-02-05_1800_Mill_739279",2026-02-05,"18:00","Mill","League emerald #14","ᴍᴇᴅɪꜱᴘᴏʀᴛꜱ ⓜ","Route One",9,20,0,0.45,92,89,1764,22,"Fives","B"
"cpl_2026-02-05_1800_Mill_739279",2026-02-05,"18:00","Mill","League emerald #14","ᴍᴇᴅɪꜱᴘᴏʀᴛꜱ ⓜ","Route One",9,19,0,0.47,75,67,2320,22,"MArko","B"
"cpl_2026-02-05_1800_Mill_739279",2026-02-05,"18:00","Mill","League emerald #14","ᴍᴇᴅɪꜱᴘᴏʀᴛꜱ ⓜ","Route One",8,20,0,0.4,73,50,1949,22,"Valentina 0311","B"
"cpl_2026-02-05_1800_Mill_739279",2026-02-05,"18:00","Mill","League emerald #14","ᴍᴇᴅɪꜱᴘᴏʀᴛꜱ ⓜ","Route One",8,17,2,0.47,81,75,1650,22,"Tuomas Miettinen","B"
"cpl_2026-02-05_1800_Mill_739279",2026-02-05,"18:00","Mill","League emerald #14","ᴍᴇᴅɪꜱᴘᴏʀᴛꜱ ⓜ","Route One",11,10,0,1.1,49,18,1960,22,"ⓜ | jazooka","B"
"cpl_2026-02-05_1800_Mill_739279",2026-02-05,"18:00","Mill","League emerald #14","ᴍᴇᴅɪꜱᴘᴏʀᴛꜱ ⓜ","Route One",15,9,3,1.67,60,33,4196,22,"ⓜ | onebody","B"
"cpl_2026-02-05_1800_Mill_739279",2026-02-05,"18:00","Mill","League emerald #14","ᴍᴇᴅɪꜱᴘᴏʀᴛꜱ ⓜ","Route One",21,9,0,2.33,74,52,3471,22,"ⓜ | stroky","B"
"cpl_2026-02-05_1800_Mill_739279",2026-02-05,"18:00","Mill","League emerald #14","ᴍᴇᴅɪꜱᴘᴏʀᴛꜱ ⓜ","Route One",22,8,9,2.75,80,59,4809,22,"ⓜ | Hunglow","B"
"cpl_2026-02-05_1800_Mill_739279",2026-02-05,"18:00","Mill","League emerald #14","ᴍᴇᴅɪꜱᴘᴏʀᴛꜱ ⓜ","Route One",26,12,4,2.17,86,85,5258,22,"ⓜ | GreekFreakKief","B"
